k,inertia,silhouette,ari
5,211.4588165283203,0.5146075546741485,0.9857248317334809
6,139.67123413085938,0.5612685084342957,1.0
7,108.51428985595703,0.5735846698284149,0.9889617960847027
8,90.1750717163086,0.579898226261139,0.9113799624965039
9,71.89110565185547,0.5921538949012757,0.8835205426692528
10,53.91038131713867,0.6038486063480377,0.9312110409107384
11,39.49232482910156,0.6347737848758698,0.9870302502077722
12,34.20857620239258,0.6299172520637513,0.989332902303645
13,29.979406356811523,0.6053677678108216,0.9788904588085374
14,26.986038208007812,0.5979757130146026,0.9298039167119241
15,24.11243438720703,0.5889233767986297,0.9354736525337551
16,21.65620231628418,0.5779743552207947,0.903286922549966
17,19.777645111083984,0.5721809566020966,0.9177911383758447
18,18.005260467529297,0.5660601377487182,0.8960660674491723
19,16.59344482421875,0.5558392941951752,0.8664506273457513
20,15.395503997802734,0.5579747438430787,0.8779608775800991
21,14.590649604797363,0.544830459356308,0.8527525140839178
22,13.3284273147583,0.53507000207901,0.8428873898744145
23,12.476943969726562,0.5365706324577332,0.849025978046607
24,11.63321304321289,0.521650367975235,0.8235898219857388
25,10.641578674316406,0.5174234271049499,0.8402112485607912
