k,inertia,silhouette,ari
5,235.02308654785156,0.4769068956375122,0.9904378399939543
6,166.4307861328125,0.5265077531337738,0.9970312357923313
7,130.76568603515625,0.5482341945171356,0.9691083974403114
8,104.53289794921875,0.5519021093845368,0.9088543243527449
9,88.14276123046875,0.553337562084198,0.9215204507006116
10,72.35694885253906,0.5716211915016174,0.893951779806649
11,58.520225524902344,0.587807160615921,0.9286315878923462
12,48.11322021484375,0.6091873586177826,0.9315890528789598
13,38.390174865722656,0.6244239449501038,0.9720327733722993
14,33.37521743774414,0.6026935756206513,0.8867222876393568
15,28.714628219604492,0.5976738154888153,0.8856208475118584
16,25.39727020263672,0.596013343334198,0.9130781774553229
17,22.80628204345703,0.6015778124332428,0.8915806981658445
18,20.471908569335938,0.6008410930633545,0.8787437974373664
19,18.251113891601562,0.5945875883102417,0.863041037186251
20,16.70435333251953,0.5899193704128265,0.8497483453459523
21,15.196929931640625,0.5877528548240661,0.8992199842781785
22,13.869047164916992,0.5801950752735138,0.8673732969442507
23,13.053841590881348,0.5741157710552216,0.8898117117124863
24,12.316438674926758,0.5685783565044403,0.887893426351731
25,11.465301513671875,0.5688462615013122,0.8700524003578053
